central,dialect,region,province,reading,pos,level,meaning,example,example_th,status,note
เท่าไหร่,กี่เบี้ย,ใต้,"สงขลา,พัทลุง",กี่-เบี้ย,คำถาม,ทั่วไป,ถามราคาหรือจำนวน,ของนี้นั้นกี่เบี้ย,ของชิ้นนี้เท่าไหร่,ยืนยัน,
พ่อ,ป้อ,เหนือ,"เชียงใหม่,ลำพูน",ป้อ,นาม,ทั่วไป,ชายผู้ให้กำเนิด,ป้อไปทำงานตี้กาด,พ่อไปทำงานที่ตลาด,ยืนยัน,
พ่อ,อีพ่อ,อีสาน,"ขอนแก่น,อุดรธานี",อี-พ่อ,นาม,ทั่วไป,ชายผู้ให้กำเนิด,อีพ่อไปไถนาแล้ว,พ่อไปไถนาแล้ว,ยืนยัน,คำว่า อี เป็นคำนำหน้าญาติทั่วไป
พ่อ,ผ่อ,ใต้,"พัทลุง,ตรัง",พ่อ,นาม,ทั่วไป,ชายผู้ให้กำเนิด,พ่อไปตลาดยัง,พ่อไปตลาดหรือยัง,ยืนยัน,สำเนียงใต้จะออกเสียงสั้น
กลับ,ปิ๊ก,เหนือ,"เชียงใหม่,ลำพูน",ปิ๊ก,กริยา,ทั่วไป,หวนกลับคืน,ปิ๊กบ้านกันดีกว่า,กลับบ้านกันดีกว่า,ยืนยัน,
กลับ,เมือ,อีสาน,"ขอนแก่น,อุบลราชธานี",เมือ,กริยา,ทั่วไป,หวนกลับคืน,เมือบ้านเฮาเถาะ,กลับบ้านเราเถอะ,ยืนยัน,
กลับ,หลบ,ใต้,"นครศรีธรรมราช,สงขลา",หลบ,กริยา,ทั่วไป,หวนกลับคืน,หลบเรินกันตะ,กลับบ้านกันเถอะ,ยืนยัน,
โกด,โกรธ,กลาง,"กรุงเทพฯ,นนทบุรี",โกรธ,กริยา,ทั่วไป,เคืองไม่พอใจ,อย่าโกรธกันเลยนะ,อย่าโกรธกันเลยนะ,ยืนยัน,คำภาษากลางมาตรฐาน
สวย,งาม,"เหนือ,อีสาน","เชียงใหม่,ขอนแก่น",งาม,วิเศษณ์,ทั่วไป,งดงาม สวยงาม,ดอกไม้นี้งามขนาด,ดอกไม้นี้สวยมาก,ยืนยัน,ใช้ร่วมกันทั้งเหนือและอีสาน
สวย,เฉิด,ใต้,สงขลา,เฉิด,วิเศษณ์,ทั่วไป,งดงาม สวยงาม,น้องสาวคนนั้นเฉิดจัง,น้องสาวคนนั้นสวยจัง,ยืนยัน,ใต้ใช้อีกคำคือ งาม
เหนื่อย,อิด,"เหนือ,อีสาน","เชียงใหม่,ขอนแก่น",อิด,วิเศษณ์,ทั่วไป,อ่อนเพลีย หมดแรง,วันนี้ทำกาดอิดขนาด,วันนี้ทำตลาดเหนื่อยมาก,ยืนยัน,ใช้ร่วมกันทั้งเหนือและอีสาน
เหนื่อย,เหน็ด,ใต้,นครศรีธรรมราช,เหน็ด,วิเศษณ์,ทั่วไป,อ่อนเพลีย หมดแรง,ทำงานทั้งวันเหน็ดจัง,ทำงานทั้งวันเหนื่อยจัง,ยืนยัน,
